tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-05-21,2017-09-08,SAN FRANCISCO Nº 1,Córdoba,Protocolo 21,2017.0,SEDAN 4 P,TOYOTA,COROLLA,Privado,Física,SAN FRANCISCO,CORDOBA,Masculino,1955.0,ARGENTINA,0.0,2019-07-18,58 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-29,2000-01-12,RIO TERCERO Nº 2,Córdoba,Nacional,2000.0,PICK UP,FORD,RANGER,Privado,Física,RÍO TERCERO,CORDOBA,Femenino,1965.0,ARGENTINA,1.0,2019-07-01,33 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-16,2008-08-08,CORDOBA Nº 18,Córdoba,Protocolo 21,2008.0,SEDAN 4 P,FORD,FIESTA,Privado,Física,CORDOBA,CORDOBA,Masculino,1953.0,CHILE,1.0,2019-05-16,0 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-09,2018-01-22,TRELEW Nº 1,Chubut,Nacional,2018.0,SEDAN 4 P,RENAULT,SANDERO,Privado,Física,TRELEW,CHUBUT,Femenino,1948.0,ARGENTINA,1.0,2019-09-09,123 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-31,2017-07-21,ROSARIO Nº 15,Santa Fe,Protocolo 21,2017.0,SEDAN 4 P,TOYOTA,ETIOS,Privado,Física,ROSARIO,SANTA FE,Femenino,1953.0,ARGENTINA,1.0,2019-08-23,84 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-18,1992-08-21,CHIVILCOY Nº 1,Buenos Aires,Importado,1992.0,SEDAN 3 P,VOLKSWAGEN,GOL,Privado,Física,CHIVILCOY,BUENOS AIRES,Masculino,1991.0,ARGENTINA,1.0,2019-07-03,15 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-26,2006-04-18,MORON Nº 03,Buenos Aires,Nacional,2006.0,SEDAN 4 P,RENAULT,MEGANE,Privado,Física,PALOMAR,BUENOS AIRES,Femenino,1960.0,ARGENTINA,1.0,2019-08-27,62 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-05,2017-09-05,MORON Nº 06,Buenos Aires,Importado,2017.0,SEDAN 4 P,VOLKSWAGEN,GOLF,Privado,Física,VILLA SARMIENTO,BUENOS AIRES,Masculino,1954.0,ARGENTINA,1.0,2019-09-12,99 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-18,2018-03-26,MORON Nº 06,Buenos Aires,Protocolo 21,2018.0,SEDAN 4 P,FORD,FIESTA,Privado,Física,EL PALOMAR,BUENOS AIRES,Masculino,1944.0,ARGENTINA,1.0,2019-08-28,71 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-14,2005-06-24,ESCOBAR Nº 1,Buenos Aires,Nacional,2005.0,PICK UP,MERCEDES BENZ,SPRINTER,Privado,Física,ESCOBAR,BUENOS AIRES,No aplica,1961.0,ARGENTINA,1.0,2019-09-02,80 days 00:00:00.000000000
