tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-11-02,2011-03-09,CAPITAL FEDERAL Nº 072,Ciudad Autónoma de Bs.As.,Nacional,2011.0,SEDAN 4 PTAS,FIAT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-05,2012-01-03,CAPITAL FEDERAL Nº 077,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,SEDAN 5 PTAS,HONDA,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1972.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-11-01,2011-04-06,CAPITAL FEDERAL Nº 079,Ciudad Autónoma de Bs.As.,Nacional,2011.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2005.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-13,2002-03-08,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Nacional,2002.0,SEDAN 4 PTAS,RENAULT,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1953.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-12,2013-08-02,CAPITAL FEDERAL Nº 085,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-01,2009-06-08,CAPITAL FEDERAL Nº 089,Ciudad Autónoma de Bs.As.,Protocolo 21,2009.0,SEDAN 5 PTAS,CITROEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-01,2016-01-19,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Importado,2016.0,SEDAN 5 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-02,2016-05-24,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Protocolo 21,2016.0,SEDAN 5 PUERTAS,FORD,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-05,2008-05-30,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Nacional,2008.0,SEDAN 4 PUERTAS,PEUGEOT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-05,2017-07-24,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Protocolo 21,2017.0,RURAL 5 PUERTAS,FORD,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
